,WaveformDecomposition.stop_methode,WaveformDecomposition.stop_region,WaveformDecomposition.threshold,WaveformDecomposition.fwhm,WaveformDecomposition.search_range,WaveformDecomposition.search_edge,MipTimeRetrieval.pe_hit_time,MipTimeRetrieval.window_length,MipTimeRetrieval.window_threshold,SystematicsStudy.threshold_tres,SystematicsStudy.range_time,SystematicsStudy.start_mpv,SystematicsStudy.window_length_mpv,MPV_1,MPV_2,MPV_3,MPV_4,TRes,TRes_shift
0,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,4.0,1.0,0.4,4.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.4732377752457486,-0.3819460354373047
1,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,4.0,1.0,0.4,6.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.0808115618539837,-0.4573147652446986
2,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,4.0,1.0,0.5,4.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.4802939770366967,-0.4070152628833359
3,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,4.0,1.0,0.5,6.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,0.9137079100780913,-0.47081445728748417
4,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,4.0,1.0,0.6,4.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.1389082269712787,-0.4193677103810013
5,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,4.0,1.0,0.6,6.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.831149878990855,-0.4783924770601837
6,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,4.0,2.0,0.4,4.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.4732377752457486,-0.3819460354373047
7,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,4.0,2.0,0.4,6.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.0808115618539837,-0.4573147652446986
8,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,4.0,2.0,0.5,4.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.4802939770366967,-0.4070152628833359
9,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,4.0,2.0,0.5,6.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,0.9137079100780913,-0.47081445728748417
10,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,4.0,2.0,0.6,4.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.1389082269712787,-0.4193677103810013
11,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,4.0,2.0,0.6,6.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.831149878990855,-0.4783924770601837
12,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,4.0,6.0,0.4,4.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.1493015818364998,-0.46156295146242643
13,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,4.0,6.0,0.4,6.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,2.071231294555116,-0.4962124026007074
14,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,4.0,6.0,0.5,4.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.0513919956922002,-0.45578352229541264
15,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,4.0,6.0,0.5,6.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.9943847976493683,-0.484496425875508
16,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,4.0,6.0,0.6,4.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.1070018145984202,-0.45794356909401346
17,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,4.0,6.0,0.6,6.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,0.9254107500602141,-0.48830399446042777
18,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,12.0,1.0,0.4,4.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.083375018854841,-0.5289472970780628
19,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,12.0,1.0,0.4,6.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.0745958539324998,-0.6013651555000672
20,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,12.0,1.0,0.5,4.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.1301135426326547,-0.5461393242655225
21,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,12.0,1.0,0.5,6.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.083588900578058,-0.619586530859999
22,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,12.0,1.0,0.6,4.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.045374245385504,-0.5410159415835296
23,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,12.0,1.0,0.6,6.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,2.533320978141385,-0.6138309728604777
24,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,12.0,2.0,0.4,4.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.083375018854841,-0.5289472970780628
25,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,12.0,2.0,0.4,6.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.0745958539324998,-0.6013651555000672
26,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,12.0,2.0,0.5,4.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.1301135426326547,-0.5461393242655225
27,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,12.0,2.0,0.5,6.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.083588900578058,-0.619586530859999
28,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,12.0,2.0,0.6,4.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.045374245385504,-0.5410159415835296
29,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,12.0,2.0,0.6,6.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,2.533320978141385,-0.6138309728604777
30,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,12.0,6.0,0.4,4.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.0909223110907773,-0.5293453632405165
31,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,12.0,6.0,0.4,6.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.0825988550340813,-0.6027664081470221
32,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,12.0,6.0,0.5,4.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.4855364338646837,-0.5371252292321002
33,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,12.0,6.0,0.5,6.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,2.5547266855067527,-0.6207497835883821
34,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,12.0,6.0,0.6,4.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.0710280174343585,-0.542370172582658
35,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,12.0,6.0,0.6,6.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,2.529114844538895,-0.6151691007164231
36,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,36.0,1.0,0.4,4.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.480012057164491,-0.5625626341336155
37,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,36.0,1.0,0.4,6.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,2.685647008691052,-0.6376187348499968
38,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,36.0,1.0,0.5,4.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.5144971586000402,-0.5362409233053809
39,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,36.0,1.0,0.5,6.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.140599064886253,-0.6221038211462794
40,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,36.0,1.0,0.6,4.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.260231289312331,-0.5434066890112313
41,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,36.0,1.0,0.6,6.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.1399971458247387,-0.6189055059749341
42,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,36.0,2.0,0.4,4.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.480012057164491,-0.5625626341336155
43,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,36.0,2.0,0.4,6.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,2.685647008691052,-0.6376187348499968
44,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,36.0,2.0,0.5,4.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.5144971586000402,-0.5362409233053809
45,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,36.0,2.0,0.5,6.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.140599064886253,-0.6221038211462794
46,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,36.0,2.0,0.6,4.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.260231289312331,-0.5434066890112313
47,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,36.0,2.0,0.6,6.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.1399971458247387,-0.6189055059749341
48,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,36.0,6.0,0.4,4.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.846295018936709,-0.5401817388681405
49,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,36.0,6.0,0.4,6.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,2.6969351213299446,-0.6374528829069919
50,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,36.0,6.0,0.5,4.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.49606105670482,-0.5467617581109624
51,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,36.0,6.0,0.5,6.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.1768401096362722,-0.6318930699121796
52,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,36.0,6.0,0.6,4.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,2.5623749572048187,-0.545292379170274
53,2.0,3.0,0.5,4.0,1000.0,200.0,1.0,36.0,6.0,0.6,6.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.1412884844338382,-0.6169865536333624
54,2.0,3.0,0.5,4.0,1000.0,200.0,2.0,4.0,1.0,0.4,4.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,0.9216035565672458,-0.30522984345276727
55,2.0,3.0,0.5,4.0,1000.0,200.0,2.0,4.0,1.0,0.4,6.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,0.956521942648586,-0.31948014869144714
56,2.0,3.0,0.5,4.0,1000.0,200.0,2.0,4.0,1.0,0.5,4.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.7630726099215412,-0.3382203167013306
57,2.0,3.0,0.5,4.0,1000.0,200.0,2.0,4.0,1.0,0.5,6.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,0.8953721362669789,-0.35785645746062744
58,2.0,3.0,0.5,4.0,1000.0,200.0,2.0,4.0,1.0,0.6,4.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,1.0110669108297914,-0.3293526326468283
59,2.0,3.0,0.5,4.0,1000.0,200.0,2.0,4.0,1.0,0.6,6.0,14980.0,275.0,41.50000000392078,39.50000000303777,33.500000000265715,30.500000003606598,0.8564450890342197,-0.3614639241146543
