,SignalTagging.bins_over_threshold,SignalTagging.threshold,SignalTagging.signal_length,WaveformDecomposition.threshold,WaveformDecomposition.fwhm,MipTimeRetrieval.window_length,MipTimeRetrieval.timing_type,MipTimeRetrieval.constant_fraction,MipTimeRetrieval.pe_hit_time,MPV_1,MPV_2,MPV_3,MPV_4,TRes,TRes_shift
16,1.0,11.7,375.0,0.5,4.0,50.0,constant fraction,0.3,3,1.044507597052619,0.8302859016032679,0.8433423911569662,0.9868085106183807,1.099764220653585,-0.19182921791790603
17,1.0,11.7,375.0,0.5,4.0,50.0,constant fraction,0.5,3,1.044507597052619,0.8302859016032679,0.8433423911569662,0.9868085106183807,1.5719355736153877,-0.2701441759138654
18,1.0,11.7,375.0,0.5,4.0,50.0,pe hit time,0.5,1,1.044507597052619,0.8302859016032679,0.8433423911569662,0.9868085106183807,0.9692732606353277,-0.2075685285945717
19,1.0,11.7,375.0,0.5,4.0,50.0,pe hit time,0.5,2,1.044507597052619,0.8302859016032679,0.8433423911569662,0.9868085106183807,0.9569048342686869,-0.25261685090272806
20,1.0,11.7,375.0,0.5,4.0,50.0,pe hit time,0.5,3,1.044507597052619,0.8302859016032679,0.8433423911569662,0.9868085106183807,1.0780382026936364,-0.3097743841805692
21,1.0,11.7,375.0,0.5,4.0,66.0,constant fraction,0.1,3,1.0620499451202414,0.8302859017557921,0.8433423913849274,0.986808510799332,0.9116215421779847,-0.10249503479126111
22,1.0,11.7,375.0,0.5,4.0,66.0,constant fraction,0.2,3,1.0620499451202414,0.8302859017557921,0.8433423913849274,0.986808510799332,0.9663489676801837,-0.1390098423191567
23,1.0,11.7,375.0,0.5,4.0,66.0,constant fraction,0.3,3,1.0620499451202414,0.8302859017557921,0.8433423913849274,0.986808510799332,1.117188827660472,-0.19336048650168552
24,1.0,11.7,375.0,0.5,4.0,66.0,constant fraction,0.5,3,1.0620499451202414,0.8302859017557921,0.8433423913849274,0.986808510799332,1.6118726328903858,-0.2893934214956845
25,1.0,11.7,375.0,0.5,4.0,66.0,pe hit time,0.5,1,1.0620499451202414,0.8302859017557921,0.8433423913849274,0.986808510799332,0.9763055043570547,-0.20664263228532564
26,1.0,11.7,375.0,0.5,4.0,66.0,pe hit time,0.5,2,1.0620499451202414,0.8302859017557921,0.8433423913849274,0.986808510799332,0.9667207483789371,-0.2521944925315849
27,1.0,11.7,375.0,0.5,4.0,66.0,pe hit time,0.5,3,1.0620499451202414,0.8302859017557921,0.8433423913849274,0.986808510799332,1.0916289046138539,-0.3122139010307679
28,1.0,11.7,375.0,0.5,4.0,72.0,constant fraction,0.1,3,1.0620499452482146,0.86394281964974,0.8433423912739143,0.9868085107205395,0.9123900425538465,-0.10236118729694442
29,1.0,11.7,375.0,0.5,4.0,72.0,constant fraction,0.2,3,1.0620499452482146,0.86394281964974,0.8433423912739143,0.9868085107205395,0.968445575424961,-0.14018997952967815
30,1.0,11.7,375.0,0.5,4.0,72.0,constant fraction,0.3,3,1.0620499452482146,0.86394281964974,0.8433423912739143,0.9868085107205395,1.1206567664293083,-0.19716695211523244
31,1.0,11.7,375.0,0.5,4.0,72.0,constant fraction,0.5,3,1.0620499452482146,0.86394281964974,0.8433423912739143,0.9868085107205395,1.615875944666409,-0.2862389982095168
32,1.0,11.7,375.0,0.5,4.0,72.0,pe hit time,0.5,1,1.0620499452482146,0.86394281964974,0.8433423912739143,0.9868085107205395,0.9763353588580971,-0.20756469169738653
33,1.0,11.7,375.0,0.5,4.0,72.0,pe hit time,0.5,2,1.0620499452482146,0.86394281964974,0.8433423912739143,0.9868085107205395,0.9675636746423982,-0.25319145461438586
34,1.0,11.7,375.0,0.5,4.0,72.0,pe hit time,0.5,3,1.0620499452482146,0.86394281964974,0.8433423912739143,0.9868085107205395,1.091775886637322,-0.31134327006873863
35,1.0,11.7,375.0,0.5,4.0,92.0,constant fraction,0.1,3,1.0620499452080892,0.8463176866540136,0.8433423913488007,1.024477836664856,0.920092266433767,-0.10113993365044603
36,1.0,11.7,375.0,0.5,4.0,92.0,constant fraction,0.2,3,1.0620499452080892,0.8463176866540136,0.8433423913488007,1.024477836664856,0.9811500284475055,-0.14657842093015358
37,1.0,11.7,375.0,0.5,4.0,92.0,constant fraction,0.3,3,1.0620499452080892,0.8463176866540136,0.8433423913488007,1.024477836664856,1.1555075702239912,0.0
38,1.0,11.7,375.0,0.5,4.0,92.0,constant fraction,0.5,3,1.0620499452080892,0.8463176866540136,0.8433423913488007,1.024477836664856,1.6465204433413558,-0.28800969388400605
39,1.0,11.7,375.0,0.5,4.0,92.0,pe hit time,0.5,1,1.0620499452080892,0.8463176866540136,0.8433423913488007,1.024477836664856,0.9799883383343966,-0.20855611605212762
40,1.0,11.7,375.0,0.5,4.0,92.0,pe hit time,0.5,2,1.0620499452080892,0.8463176866540136,0.8433423913488007,1.024477836664856,0.9752704612975778,-0.25796633545008874
41,1.0,11.7,375.0,0.5,4.0,92.0,pe hit time,0.5,3,1.0620499452080892,0.8463176866540136,0.8433423913488007,1.024477836664856,1.094735716451288,-0.3142146934861413
42,1.0,11.7,375.0,0.5,6.0,24.0,constant fraction,0.1,3,0.9848061044013257,0.7950356351753558,0.7585694876474537,0.9124778369462314,0.8967172635294629,-0.08717454674914134
43,1.0,11.7,375.0,0.5,6.0,24.0,constant fraction,0.2,3,0.9848061044013257,0.7950356351753558,0.7585694876474537,0.9124778369462314,0.9118355862252335,-0.12386196708113931
44,1.0,11.7,375.0,0.5,6.0,24.0,constant fraction,0.3,3,0.9848061044013257,0.7950356351753558,0.7585694876474537,0.9124778369462314,1.0323916290307027,-0.15255254955393371
45,1.0,11.7,375.0,0.5,6.0,24.0,constant fraction,0.5,3,0.9848061044013257,0.7950356351753558,0.7585694876474537,0.9124778369462314,1.425412039224721,-0.2154527563168118
46,1.0,11.7,375.0,0.5,6.0,24.0,pe hit time,0.5,1,0.9848061044013257,0.7950356351753558,0.7585694876474537,0.9124778369462314,0.9666928140803369,-0.18648236185976733
47,1.0,11.7,375.0,0.5,6.0,24.0,pe hit time,0.5,2,0.9848061044013257,0.7950356351753558,0.7585694876474537,0.9124778369462314,0.9179435641414389,-0.21158584468607644
48,1.0,11.7,375.0,0.5,6.0,24.0,pe hit time,0.5,3,0.9848061044013257,0.7950356351753558,0.7585694876474537,0.9124778369462314,1.0110325426275872,-0.2979302876197815
49,1.0,11.7,375.0,0.5,6.0,36.0,constant fraction,0.1,3,1.0053335275700752,0.7950356354708306,0.8116944873776243,0.9448138298498052,0.9068907346441453,-0.10016230448716322
50,1.0,11.7,375.0,0.5,6.0,36.0,constant fraction,0.2,3,1.0053335275700752,0.7950356354708306,0.8116944873776243,0.9448138298498052,0.9265065669015399,-0.13180759827247102
51,1.0,11.7,375.0,0.5,6.0,36.0,constant fraction,0.3,3,1.0053335275700752,0.7950356354708306,0.8116944873776243,0.9448138298498052,1.0574045415558047,-0.17104307081202993
52,1.0,11.7,375.0,0.5,6.0,36.0,constant fraction,0.5,3,1.0053335275700752,0.7950356354708306,0.8116944873776243,0.9448138298498052,1.5020776716702788,-0.25436981008400555
53,1.0,11.7,375.0,0.5,6.0,36.0,pe hit time,0.5,1,1.0053335275700752,0.7950356354708306,0.8116944873776243,0.9448138298498052,0.976631163197107,-0.19248060044224918
54,1.0,11.7,375.0,0.5,6.0,36.0,pe hit time,0.5,2,1.0053335275700752,0.7950356354708306,0.8116944873776243,0.9448138298498052,0.9338790141149875,-0.21576017122424676
55,1.0,11.7,375.0,0.5,6.0,36.0,pe hit time,0.5,3,1.0053335275700752,0.7950356354708306,0.8116944873776243,0.9448138298498052,1.0281336524336722,-0.29944365653771576
56,1.0,11.7,375.0,0.5,6.0,50.0,constant fraction,0.1,3,1.044507596976946,0.8152248709178491,0.8116944876470386,0.9448138300460148,0.9096198827354784,-0.10372557228745369
57,1.0,11.7,375.0,0.5,6.0,50.0,constant fraction,0.2,3,1.044507596976946,0.8152248709178491,0.8116944876470386,0.9448138300460148,0.9395617821716092,-0.13788188013230038
58,1.0,11.7,375.0,0.5,6.0,50.0,constant fraction,0.3,3,1.044507596976946,0.8152248709178491,0.8116944876470386,0.9448138300460148,1.0789521457320967,-0.18018749518826327
59,1.0,11.7,375.0,0.5,6.0,50.0,constant fraction,0.5,3,1.044507596976946,0.8152248709178491,0.8116944876470386,0.9448138300460148,1.5228521096388294,-0.27441530299117073
60,1.0,11.7,375.0,0.5,6.0,50.0,pe hit time,0.5,1,1.044507596976946,0.8152248709178491,0.8116944876470386,0.9448138300460148,0.9827053984902117,-0.19497108543649264
61,1.0,11.7,375.0,0.5,6.0,50.0,pe hit time,0.5,2,1.044507596976946,0.8152248709178491,0.8116944876470386,0.9448138300460148,0.9478685719473825,-0.2204535138471517
