,WaveformDecomposition.stop_methode,WaveformDecomposition.stop_region,WaveformDecomposition.threshold,WaveformDecomposition.fwhm,WaveformDecomposition.search_range,WaveformDecomposition.search_edge,MipTimeRetrieval.window_threshold,MipTimeRetrieval.window_length,MipTimeRetrieval.timing_type,MipTimeRetrieval.constant_fraction,MipTimeRetrieval.pe_hit_time,SystematicsStudy.threshold_tres,SystematicsStudy.range_time,MPV_1,MPV_2,MPV_3,MPV_4,TRes,TRes_shift
0,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.1,0,0.1,4,0.03196888801001911,0.13790887364960008,0.03342198581560284,0.030864197530864192,2.152738653936014,-0.7752241225348064
1,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.1,0,0.1,6,0.03196888801001911,0.13790887364960008,0.03342198581560284,0.030864197530864192,2.835864533437778,-1.3895474078854553
2,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.1,0,0.1,8,0.03196888801001911,0.13790887364960008,0.03342198581560284,0.030864197530864192,2.988353179537917,-1.5900945226199008
3,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.1,0,0.1,10,0.03196888801001911,0.13790887364960008,0.03342198581560284,0.030864197530864192,2.8175642090204107,-1.403409908042522
4,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.1,0,0.3,4,0.03196888801001911,0.13790887364960008,0.03342198581560284,0.030864197530864192,1.529821769007548,-0.5424154675604878
5,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.1,0,0.3,6,0.03196888801001911,0.13790887364960008,0.03342198581560284,0.030864197530864192,1.7431383309323252,-0.6903577271964447
6,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.1,0,0.3,8,0.03196888801001911,0.13790887364960008,0.03342198581560284,0.030864197530864192,1.8173100095608854,-0.7197099407703902
7,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.1,0,0.3,10,0.03196888801001911,0.13790887364960008,0.03342198581560284,0.030864197530864192,1.8783163734769013,-0.7305754381121601
8,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.1,0,0.5,4,0.03196888801001911,0.13790887364960008,0.03342198581560284,0.030864197530864192,1.4382678899598371,-0.39279671082632356
9,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.1,0,0.5,6,0.03196888801001911,0.13790887364960008,0.03342198581560284,0.030864197530864192,1.6146411823076603,-0.46483727833779726
10,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.1,0,0.5,8,0.03196888801001911,0.13790887364960008,0.03342198581560284,0.030864197530864192,1.6426085403823667,-0.47359632162720233
11,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.1,0,0.5,10,0.03196888801001911,0.13790887364960008,0.03342198581560284,0.030864197530864192,1.6482145280239995,-0.4710173349259943
12,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.1,0,0.7,4,0.03196888801001911,0.13790887364960008,0.03342198581560284,0.030864197530864192,1.2989672927002731,-0.3642376685742249
13,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.1,0,0.7,6,0.03196888801001911,0.13790887364960008,0.03342198581560284,0.030864197530864192,1.437286155418171,-0.4666120348819103
14,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.1,0,0.7,8,0.03196888801001911,0.13790887364960008,0.03342198581560284,0.030864197530864192,1.4266227306858288,-0.4596620157437857
15,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.1,0,0.7,10,0.03196888801001911,0.13790887364960008,0.03342198581560284,0.030864197530864192,1.426123532273847,-0.45941523361601877
