,WaveformDecomposition.stop_methode,WaveformDecomposition.stop_region,WaveformDecomposition.threshold,WaveformDecomposition.fwhm,WaveformDecomposition.search_range,WaveformDecomposition.search_edge,MipTimeRetrieval.pe_hit_time,MipTimeRetrieval.window_length,MipTimeRetrieval.window_threshold,SystematicsStudy.threshold_tres,SystematicsStudy.range_time,MPV_1,MPV_2,MPV_3,MPV_4,TRes,TRes_shift
19,2.0,3.0,1.5,4.0,1000.0,200.0,2.0,4.0,1.0,0.6,6.0,7.344393633863446,3.9659039049648186,6.497530487830393,6.191096788119107,0.821215940862945,-0.32403711686047365
20,2.0,3.0,1.5,4.0,1000.0,200.0,2.0,4.0,2.0,0.5,6.0,8.4771383288825,4.140201170484033,7.445071345275929,6.739181320265454,0.8750282069638294,-0.2948042994282939
21,2.0,3.0,1.5,4.0,1000.0,200.0,2.0,4.0,2.0,0.6,6.0,8.4771383288825,4.140201170484033,7.445071345275929,6.739181320265454,0.8197520512418626,-0.31637527430393747
22,2.0,3.0,1.5,4.0,1000.0,200.0,2.0,4.0,3.0,0.5,6.0,8.724473377977558,4.552226527459664,5.98318992436894,6.492089025965836,0.8635432898257854,-0.2755231000983624
23,2.0,3.0,1.5,4.0,1000.0,200.0,2.0,4.0,3.0,0.6,6.0,8.724473377977558,4.552226527459664,5.98318992436894,6.492089025965836,0.7846864530142322,-0.2980184398634941
24,2.0,3.0,1.5,4.0,1000.0,200.0,2.0,12.0,1.0,0.5,6.0,13.5000000000848,9.99720271961348,12.126175403453242,10.47545375971953,1.041633199962933,-0.376113443985207
25,2.0,3.0,1.5,4.0,1000.0,200.0,2.0,12.0,1.0,0.6,6.0,13.5000000000848,9.99720271961348,12.126175403453242,10.47545375971953,0.9702709681709806,-0.3759572044523243
26,2.0,3.0,1.5,4.0,1000.0,200.0,2.0,12.0,2.0,0.5,6.0,13.500000000949887,9.624248098371867,12.134688453206655,10.47847882544647,1.041633199962933,-0.376113443985207
27,2.0,3.0,1.5,4.0,1000.0,200.0,2.0,12.0,2.0,0.6,6.0,13.500000000949887,9.624248098371867,12.134688453206655,10.47847882544647,0.9702709681709806,-0.3759572044523243
28,2.0,3.0,1.5,4.0,1000.0,200.0,2.0,12.0,3.0,0.5,6.0,13.500000000277042,9.639777517867762,12.235149559053818,10.51188204781473,1.0427593096130676,-0.37641150721150707
29,2.0,3.0,1.5,4.0,1000.0,200.0,2.0,12.0,3.0,0.6,6.0,13.500000000277042,9.639777517867762,12.235149559053818,10.51188204781473,1.6455080405058258,-0.37666731139633997
30,2.0,3.0,1.5,4.0,1000.0,200.0,2.0,36.0,1.0,0.5,6.0,16.500000000962782,13.781017556081704,15.500000000682173,13.440968021938518,1.1182087637428184,-0.3654031388427709
31,2.0,3.0,1.5,4.0,1000.0,200.0,2.0,36.0,1.0,0.6,6.0,16.500000000962782,13.781017556081704,15.500000000682173,13.440968021938518,1.1003733523483976,-0.3408409407541554
32,2.0,3.0,1.5,4.0,1000.0,200.0,2.0,36.0,2.0,0.5,6.0,16.50000000127682,13.786417910325108,12.500000000902507,13.441343994298473,1.1182087637428184,-0.3654031388427709
33,2.0,3.0,1.5,4.0,1000.0,200.0,2.0,36.0,2.0,0.6,6.0,16.50000000127682,13.786417910325108,12.500000000902507,13.441343994298473,1.1003733523483976,-0.3408409407541554
34,2.0,3.0,1.5,4.0,1000.0,200.0,2.0,36.0,3.0,0.5,6.0,16.500000000660112,13.791158911801775,13.500000000444714,13.443098533191991,1.1173779067429006,-0.36507931616792727
35,2.0,3.0,1.5,4.0,1000.0,200.0,2.0,36.0,3.0,0.6,6.0,16.500000000660112,13.791158911801775,13.500000000444714,13.443098533191991,1.0990518468900456,-0.34017680462346717
36,2.0,3.0,1.5,6.0,1000.0,200.0,1.0,4.0,1.0,0.5,6.0,8.901673628113516,5.602033786669091,7.536040940664583,6.780803687444046,0.726415501408821,-0.40007802234166584
