,WaveformDecomposition.stop_methode,WaveformDecomposition.stop_region,WaveformDecomposition.threshold,WaveformDecomposition.fwhm,WaveformDecomposition.search_range,WaveformDecomposition.search_edge,MipTimeRetrieval.window_threshold,MipTimeRetrieval.window_length,MipTimeRetrieval.timing_type,MipTimeRetrieval.constant_fraction,MipTimeRetrieval.pe_hit_time,SystematicsStudy.threshold_tres,SystematicsStudy.range_time,MPV_1,MPV_2,MPV_3,MPV_4,TRes,TRes_shift
13,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.3,0,0.4,6,0.5541093556440184,0.4559987132991729,0.4794071381731849,0.4417278497552437,1.332915115330645,-0.473585225079031
14,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.3,0,0.4,8,0.5541093556440184,0.4559987132991729,0.4794071381731849,0.4417278497552437,1.3565869814359142,-0.4822594287719467
15,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.3,0,0.6,4,0.5541093556440184,0.4559987132991729,0.4794071381731849,0.4417278497552437,1.1894372523146333,-0.45306295222051335
16,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.3,0,0.6,6,0.5541093556440184,0.4559987132991729,0.4794071381731849,0.4417278497552437,1.2589150373129043,-0.4926712111841521
17,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.3,0,0.6,8,0.5541093556440184,0.4559987132991729,0.4794071381731849,0.4417278497552437,1.2708837277612017,-0.49928281272271785
18,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.5,0,0.2,4,0.5532928629364184,0.4551128696133366,0.47879255223547357,0.4417080816056662,1.1511867288263538,-0.6248114127457657
19,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.5,0,0.2,6,0.5532928629364184,0.4551128696133366,0.47879255223547357,0.4417080816056662,1.200300444072833,-0.6293410006132635
20,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.5,0,0.2,8,0.5532928629364184,0.4551128696133366,0.47879255223547357,0.4417080816056662,1.2516394069664396,-0.649562857700508
21,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.5,0,0.4,4,0.5532928629364184,0.4551128696133366,0.47879255223547357,0.4417080816056662,1.2386383903951348,-0.6438826195914563
22,2.0,5.0,0.5,4.0,1000.0,200.0,1.0,4.0,constant fraction,0.5,0,0.4,6,0.5532928629364184,0.4551128696133366,0.47879255223547357,0.4417080816056662,1.3144453105068699,-0.6635283341707753
