,SignalTagging.bins_over_threshold,SignalTagging.threshold,SignalTagging.signal_length,WaveformDecomposition.threshold,WaveformDecomposition.fwhm,MipTimeRetrieval.window_length,MipTimeRetrieval.timing_type,MipTimeRetrieval.constant_fraction,MipTimeRetrieval.pe_hit_time,MPV_1,MPV_2,MPV_3,MPV_4,TRes,TRes_shift
0,1.0,11.7,375.0,0.5,4.0,24.0,constant fraction,0.1,0,1.3198706616887168,0.9126607683888428,1.0120923912981352,1.0401418439002166,1.8955464706035525,-0.28248721238330676
1,1.0,11.7,375.0,0.5,4.0,24.0,constant fraction,0.2,0,1.3198706617461065,0.8975997377801216,1.0120923913496884,1.0401418440033023,1.4719658028530302,-0.32345081205446763
2,1.0,11.7,375.0,0.5,4.0,24.0,constant fraction,0.3,0,1.3198706617014628,0.8975997379018312,1.012092391332197,1.0401418439298193,1.4184516489704295,-0.4227715183541336
3,1.0,11.7,375.0,0.5,4.0,24.0,constant fraction,0.5,0,1.3679999552310917,0.9126607683922169,1.0120923912223931,1.0401418438463985,1.7614408461042526,-0.4767300976517923
4,1.0,11.7,375.0,0.5,4.0,24.0,pe hit time,0.5,1,1.3198706617014628,0.9126607683698382,1.0120923911739248,1.0401418439450938,2.324036999532491,-0.6726230759160039
5,1.0,11.7,375.0,0.5,4.0,24.0,pe hit time,0.5,2,1.3679999552626605,0.9126607682749805,1.012092391199511,1.040141843860137,1.970043700754166,-0.41749236467931244
6,1.0,11.7,375.0,0.5,4.0,24.0,pe hit time,0.5,3,0.30461746731491357,0.7696403702793478,1.0120923911858386,1.0401418440119625,1.5214596934779545,-0.5807162830099732
7,1.0,11.7,375.0,0.5,4.0,36.0,constant fraction,0.1,3,1.4512139452474222,1.0588146144448936,1.069536102718131,1.1611498224969552,1.3055906033569895,-0.3234373380975316
8,1.0,11.7,375.0,0.5,4.0,36.0,constant fraction,0.2,3,1.4512139453527433,1.0588146146923754,1.069536102502442,1.1611498225419865,1.7813688312816724,-1.1662323992758359
9,1.0,11.7,375.0,0.5,4.0,36.0,constant fraction,0.3,3,1.4512139455099837,1.0514458917156362,1.069536102492804,1.1611498225325945,0.7182148903739243,-0.133131156550032
10,1.0,11.7,375.0,0.5,4.0,36.0,constant fraction,0.5,3,1.4512139454332644,1.0514458918404332,1.0695361023690213,1.1611498225247592,0.4491914582468812,0.4069347306597691
11,1.0,11.7,375.0,0.5,4.0,36.0,pe hit time,0.5,1,1.3971145024774692,0.9709879577485692,1.0695361026537111,1.161149822707394,1.5765669397918263,-0.17445562237158244
12,1.0,11.7,375.0,0.5,4.0,36.0,pe hit time,0.5,2,1.4512139452615878,1.014901286285696,1.0695361024952332,1.1611498225637118,2.01541072446334,-0.5792958122458077
13,1.0,11.7,375.0,0.5,4.0,36.0,pe hit time,0.5,3,1.451213945232694,1.0588146146173458,1.0695361025868086,1.1611498227148953,0.47729582489265643,-0.45720631525308436
14,1.0,11.7,375.0,0.5,4.0,50.0,constant fraction,0.1,3,1.282209268516085,1.0145777010905304,1.266411102496899,1.2224831560739526,7.585931807638756e+19,1.5713528926045143e+18
15,1.0,11.7,375.0,0.5,4.0,50.0,constant fraction,0.2,3,1.6426268204412202,1.1540099942532778,1.2664111025702554,1.222483156011166,-1.1926355249709562,-2.9049544845435156
16,1.0,11.7,375.0,0.5,4.0,50.0,constant fraction,0.3,3,1.5825572288903769,1.1540099943295241,1.2664111025106919,1.222483155954676,2.611282082706876,-3.929033077228374
17,1.0,11.7,375.0,0.5,4.0,50.0,constant fraction,0.5,3,1.5825572290773304,1.1540099941175699,1.2664111025524485,1.2224831561008285,3.17871683880208,1.1304175565585601
18,1.0,11.7,375.0,0.5,4.0,50.0,pe hit time,0.5,1,1.1620700843175404,0.5530638159614347,1.2664111024249325,1.222483156294511,7.585931807638756e+19,1.5713528926045143e+18
19,1.0,11.7,375.0,0.5,4.0,50.0,pe hit time,0.5,2,1.4023484526292527,0.9681002703274887,1.2664111023862394,1.2224831559922074,-1.1926355249709562,-2.9049544845435156
20,1.0,11.7,375.0,0.5,4.0,50.0,pe hit time,0.5,3,1.5825572286927416,1.061055132473238,1.266411102508446,1.2224831559587614,2.8906501813804097,0.18836413849499886
