,WaveformDecomposition.stop_methode,WaveformDecomposition.stop_region,WaveformDecomposition.threshold,WaveformDecomposition.fwhm,WaveformDecomposition.search_range,WaveformDecomposition.search_edge,MipTimeRetrieval.window_threshold,MipTimeRetrieval.window_length,MipTimeRetrieval.timing_type,MipTimeRetrieval.constant_fraction,MipTimeRetrieval.pe_hit_time,SystematicsStudy.threshold_tres,SystematicsStudy.range_time,MPV_1,MPV_2,MPV_3,MPV_4,TRes,TRes_shift
84,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,12.0,constant fraction,0.1,3,0.5,4,0.8653022214587831,0.7607099067766055,0.7667553193100057,0.6447672399602709,2.067663512009495,-0.7049819846927795
85,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,12.0,constant fraction,0.1,3,0.5,6,0.8653022214587831,0.7607099067766055,0.7667553193100057,0.6447672399602709,2.6018682766661096,-1.1017305903260752
86,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,12.0,constant fraction,0.3,3,0.5,4,0.865302221417803,0.7268897489396541,0.7667553193773824,0.648696655835565,1.1604777786278477,-0.4867889187525966
87,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,12.0,constant fraction,0.3,3,0.5,6,0.865302221417803,0.7268897489396541,0.7667553193773824,0.648696655835565,1.2119314143982587,-0.49968921201379646
88,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,12.0,constant fraction,0.5,3,0.5,4,0.8653022215046294,0.7274056033935955,0.7667553192305817,0.6497350374709825,1.387169005025331,-0.44032191494280915
89,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,12.0,constant fraction,0.5,3,0.5,6,0.8653022215046294,0.7274056033935955,0.7667553192305817,0.6497350374709825,1.428716040124707,-0.4286884527547647
90,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,12.0,pe hit time,0.5,1,0.5,4,0.8653022214811839,0.7579756521829502,0.7667553193414932,0.643310517248144,2.418212138284953,-0.5700888928216569
91,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,12.0,pe hit time,0.5,1,0.5,6,0.8653022214811839,0.7579756521829502,0.7667553193414932,0.643310517248144,2.8430535165609814,-0.9755570015059327
92,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,12.0,pe hit time,0.5,2,0.5,4,0.8653022213546974,0.7248017664594448,0.7667553192205497,0.6471726998850242,1.2108444161656233,-0.35560780357103633
93,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,12.0,pe hit time,0.5,2,0.5,6,0.8653022213546974,0.7248017664594448,0.7667553192205497,0.6471726998850242,1.3361681516263597,-0.4420691197516164
94,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,12.0,pe hit time,0.5,3,0.5,4,0.8653022213813533,0.7253667499433158,0.7667553191748244,0.6471652294856427,1.2019833604261618,-0.3314928883186671
95,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,12.0,pe hit time,0.5,3,0.5,6,0.8653022213813533,0.7253667499433158,0.7667553191748244,0.6471652294856427,1.2500170993411155,-0.321432587192973
96,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,36.0,constant fraction,0.1,3,0.5,4,1.1217124780569678,1.1330551243686287,0.9667553192523379,0.8950617285775897,1.6542442523829743,-0.43910132476407326
97,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,36.0,constant fraction,0.1,3,0.5,6,1.1217124780569678,1.1330551243686287,0.9667553192523379,0.8950617285775897,2.0039159705806187,-0.5849187442004287
98,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,36.0,constant fraction,0.3,3,0.5,4,1.1217124778889942,1.1330551243930609,0.9667553192922771,0.8950617284869493,1.3007836036644476,-0.2774283960944746
99,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,36.0,constant fraction,0.3,3,0.5,6,1.1217124778889942,1.1330551243930609,0.9667553192922771,0.8950617284869493,1.3440003714911803,-0.24195868334682105
100,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,36.0,constant fraction,0.5,3,0.5,4,1.1217124778251952,1.0549301244689875,0.9667553192328922,0.8950617285646958,1.7437537673526473,0.08567108422282897
101,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,36.0,constant fraction,0.5,3,0.5,6,1.1217124778251952,1.0549301244689875,0.9667553192328922,0.8950617285646958,1.9062470644439742,0.18198083034448148
102,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,36.0,pe hit time,0.5,1,0.5,4,1.1217124780217183,1.1330551243908258,0.9667553193169934,0.8950617286124389,2.4762327308160086,-0.5801765759576749
103,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,36.0,pe hit time,0.5,1,0.5,6,1.1217124780217183,1.1330551243908258,0.9667553193169934,0.8950617286124389,2.818230031353439,-0.9347325864387902
104,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,36.0,pe hit time,0.5,2,0.5,4,1.121712477788153,1.1330551242593754,0.9667553193644735,0.8950617285942569,1.276925104484386,-0.34923043659772024
105,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,36.0,pe hit time,0.5,2,0.5,6,1.121712477788153,1.1330551242593754,0.9667553193644735,0.8950617285942569,1.3939596504403473,-0.4089979256233424
106,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,36.0,pe hit time,0.5,3,0.5,4,1.1217124779483167,1.1330551243476703,0.9667553194977687,0.895061728648146,1.2471088918003497,-0.3278235044566856
107,2.0,5.0,1.5,4.0,1000.0,200.0,3.0,36.0,pe hit time,0.5,3,0.5,6,1.1217124779483167,1.1330551243476703,0.9667553194977687,0.895061728648146,1.3191980064626736,-0.3056127969340218
108,2.0,5.0,1.5,6.0,1000.0,200.0,1.0,4.0,constant fraction,0.1,3,0.5,4,0.03196888801001911,0.03930512422360249,0.03342198581560284,0.030864197530864192,1.3273451830388616,-0.26000018492903115
109,2.0,5.0,1.5,6.0,1000.0,200.0,1.0,4.0,constant fraction,0.1,3,0.5,6,0.03196888801001911,0.03930512422360249,0.03342198581560284,0.030864197530864192,1.4753114900785373,-0.34176534454507324
110,2.0,5.0,1.5,6.0,1000.0,200.0,1.0,4.0,constant fraction,0.3,3,0.5,4,0.03196888801001911,0.03930512422360249,0.03342198581560284,0.030864197530864192,1.2268331936020642,-0.277617932387583
111,2.0,5.0,1.5,6.0,1000.0,200.0,1.0,4.0,constant fraction,0.3,3,0.5,6,0.03196888801001911,0.03930512422360249,0.03342198581560284,0.030864197530864192,1.325082682933468,-0.31382432927411047
112,2.0,5.0,1.5,6.0,1000.0,200.0,1.0,4.0,constant fraction,0.5,3,0.5,4,0.03196888801001911,0.03930512422360249,0.03342198581560284,0.030864197530864192,1.2966697244831766,-0.3866513763384751
113,2.0,5.0,1.5,6.0,1000.0,200.0,1.0,4.0,constant fraction,0.5,3,0.5,6,0.03196888801001911,0.03930512422360249,0.03342198581560284,0.030864197530864192,1.368974793802945,-0.3996258524187541
114,2.0,5.0,1.5,6.0,1000.0,200.0,1.0,4.0,pe hit time,0.5,1,0.5,4,0.03196888801001911,0.03930512422360249,0.03342198581560284,0.030864197530864192,1.3325409865808153,-0.26712626095789427
115,2.0,5.0,1.5,6.0,1000.0,200.0,1.0,4.0,pe hit time,0.5,1,0.5,6,0.03196888801001911,0.03930512422360249,0.03342198581560284,0.030864197530864192,1.4779361004133726,-0.3420799022220991
116,2.0,5.0,1.5,6.0,1000.0,200.0,1.0,4.0,pe hit time,0.5,2,0.5,4,0.185153289999103,0.14164839770385343,0.11091848780527708,0.19451282225329408,1.2231217031054922,-0.21320412874779443
117,2.0,5.0,1.5,6.0,1000.0,200.0,1.0,4.0,pe hit time,0.5,2,0.5,6,0.185153289999103,0.14164839770385343,0.11091848780527708,0.19451282225329408,1.3568389754673214,-0.2690735183943535
118,2.0,5.0,1.5,6.0,1000.0,200.0,1.0,4.0,pe hit time,0.5,3,0.5,4,0.0674384643732351,0.03930512422360249,0.07134150923787604,0.030864197530864192,1.239040386279776,-0.1391670288984113
119,2.0,5.0,1.5,6.0,1000.0,200.0,1.0,4.0,pe hit time,0.5,3,0.5,6,0.0674384643732351,0.03930512422360249,0.07134150923787604,0.030864197530864192,1.3497744414745376,-0.16956859456641418
120,2.0,5.0,1.5,6.0,1000.0,200.0,1.0,12.0,constant fraction,0.1,3,0.5,4,0.8653022215336136,0.758718955266448,0.7667553193820582,0.672834628542099,2.063877218893108,-0.699591108394265
121,2.0,5.0,1.5,6.0,1000.0,200.0,1.0,12.0,constant fraction,0.1,3,0.5,6,0.8653022215336136,0.758718955266448,0.7667553193820582,0.672834628542099,2.5951752937075967,-1.098070849641233
122,2.0,5.0,1.5,6.0,1000.0,200.0,1.0,12.0,constant fraction,0.3,3,0.5,4,0.8653022214046896,0.7632824939456538,0.76675531927357,0.6477180369582527,1.159686645607316,-0.48743911995831074
123,2.0,5.0,1.5,6.0,1000.0,200.0,1.0,12.0,constant fraction,0.3,3,0.5,6,0.8653022214046896,0.7632824939456538,0.76675531927357,0.6477180369582527,1.2112913543985213,-0.5004412861686189
124,2.0,5.0,1.5,6.0,1000.0,200.0,1.0,12.0,constant fraction,0.5,3,0.5,4,0.865302221389005,0.7640517267758049,0.7667553192186669,0.6487115965603545,1.3872468290808757,-0.44010155356109393
125,2.0,5.0,1.5,6.0,1000.0,200.0,1.0,12.0,constant fraction,0.5,3,0.5,6,0.865302221389005,0.7640517267758049,0.7667553192186669,0.6487115965603545,1.4287623156992828,-0.42847315957621396
